obs,aluminum,barley,beef,coal,cocoa,coffee,rapeseed_oil,copper,cotton,hides,lamb,lead,soft_logs,hard_logs,maize,nickel,oil_brent,oil_DF,oil_WTI,olive_oil,swine,poultry,rice,rubber,fish,hard_sawnwood,soft_sawnwood,shrimp,sunflower_oil,tea,tin,uranium,wheat,wool,zinc,gold,silver,platinum,cpi
1980M01,265.505847210107,197.61748616062,335.568172568173,343.278276637042,748.447424454363,335.361190696643,350.78641701603,305.195279734502,405.978743566499,168.159757340833,198.41487351839,511.092465002547,103.691316457817,164.213915896543,246.365686049774,171.881723231721,344.252628154294,355.821773854561,294.820023344252,138.747209923616,304.571621129489,126.359472815828,346.405076405076,511.434561261658,418.005996157159,100.405578941835,101.442856174009,194.547338361538,287.153653423116,214.366700404858,621.664465118795,909.115317492281,407.184152644937,434.298073259225,142.510283333252,515.27845686638,1643.53172014313,397.08375428804,78
1980M02,271.859583379016,195.11599899403,326.922629811418,343.722799939483,755.228148872718,323.577807528982,349.279184727825,338.998539860357,439.197861233714,136.814164842873,203.891160620347,529.654077827144,97.3539093638755,177.108420741252,263.215129682389,179.863596723878,327.148937451691,332.827295464226,291.402814178702,136.071903746741,272.10175047969,119.806388741131,345.483697736862,552.580511087814,421.131881071534,102.691823385339,95.2431484987745,182.579066121075,287.035482939437,219.091795469687,618.012663225992,852.727152230101,395.300239298009,440.455563134443,157.943757976338,501.905097469326,1470.46772981466,428.760669077758,79
1980M03,248.922086000114,202.011364617741,282.772951044754,343.802338710079,711.322533344324,356.98572925499,324.221287384759,264.088145370528,416.768400282225,109.167383042738,196.657625383684,500.655559623319,96.0169642914628,169.979946057091,249.752413369123,171.162454601391,320.561084924574,325.977073524359,306.64386110607,130.137037198961,266.210828667076,115.522318864741,354.402955901083,480.151642199912,404.15243219877,100.175419795011,93.9351901548462,181.639093676162,264.018503732307,210.278965437939,622.735161937686,774.620729323947,369.133577047255,422.624494797874,132.843420725684,411.894850041575,1007.71190503005,357.800762652127,80.1
1980M04,240.739606915724,200.013724423746,271.696013386813,345.213287763655,663.048659459926,346.611912994368,309.546846035644,235.454143033134,399.543672257299,104.521503405112,216.579782682615,430.197593366023,103.655049271027,165.600201984035,243.7390325137,156.875803192557,316.561355253007,315.982513376797,303.457886587927,122.552480017446,210.284436212281,111.371934789618,354.280505924511,433.846035605448,401.561822264384,98.5433592088937,101.40676950681,173.635484349543,237.370010727829,203.586434953267,601.785494477989,701.221209042254,349.879034483922,386.578033579136,125.657951360517,381.17463988439,604.174366442289,279.530615047832,80.9
1980M05,219.058156129447,193.360114628935,259.614290432615,346.670907557042,583.390046479677,361.687637689929,303.679617846215,233.396291598764,386.194934600918,91.8171562116721,229.567490149671,348.533130318481,102.640067148423,174.657635720745,244.8613012346,149.543166345388,316.33740585904,318.252239141707,300.486450733945,119.216743289075,220.439649864188,109.117723366022,362.533041553849,428.462660839132,411.92644040243,100.081424189869,100.413802363537,167.325277162682,243.121328642051,208.685726019455,600.749456149215,694.354905893737,357.026274195796,393.498743306412,123.264619890974,374.805123770045,505.831459285103,262.97400477939,81.7
1980M06,203.881788146669,182.188787634318,264.984223184223,348.16566461427,558.128700894025,341.017632862713,306.352180733713,223.281383205924,364.019730541772,102.763433927651,226.637290158941,320.225714372868,101.644769527589,174.760213751595,250.308761449661,155.350258599342,309.201451469493,318.707349596047,297.572642726828,118.56613848488,248.386629769179,110.237508606007,366.47982858892,434.706540876979,425.112551875343,99.5275135662696,99.4400927648602,158.093930238945,236.554900924187,211.880615098352,595.992685465923,676.877677296526,345.508973934468,395.635156057822,117.846770425765,433.963972521111,625.287820378029,298.668792413935,82.5
1980M07,214.508153940587,242.504715197814,290.388452394679,352.660018521556,550.024176510887,292.27686391283,332.930896657696,241.881264731831,384.017925832839,117.954269876739,233.954691051294,351.438599169379,108.729339143872,149.824675420441,288.201165685832,163.230632331724,303.950897957538,294.889505647977,297.137141648267,119.568183484773,336.300247854549,120.860673755602,366.03614840903,428.495988100634,440.539507354643,93.5348674893433,106.372123440164,157.902533228971,265.696972442351,199.83239666964,591.077486620501,676.058212796167,369.222729333366,401.008449665628,123.838531357301,464.873004481498,644.679517456003,311.561061147623,82.6
1980M08,216.056415221941,226.927333525116,305.71285485348,355.070171238124,512.25889225374,253.485550498958,328.300811417104,229.674998917921,413.423250649905,142.178221228845,223.66736787047,366.967452623535,95.4216971381642,141.767295675318,313.701367068055,161.131896474966,271.098944671506,283.545476040353,283.938574847509,118.164877123434,405.019452387553,127.233086427663,363.396464646465,442.753737578715,445.354738123634,91.1457443444787,93.3522878101988,150.727987080895,274.214816551878,201.736314946019,584.014095512956,639.22170761176,372.150197159393,397.655760858404,132.461457692552,449.245489113716,624.419889093174,297.263358516484,83.2
1980M09,198.810725729208,215.892821977794,295.475055337987,357.084087962809,524.210490658293,232.682828309914,326.118480658526,225.346082197097,430.181237762206,113.745883549458,208.473665016085,377.104541420329,83.3887965691751,166.304928964962,305.956504579762,161.506885689264,267.236873321682,280.744517950928,266.828123824076,118.821267293875,395.618967328624,131.591275051857,360.364551353824,456.608296711407,446.644615067156,96.5770226727701,81.5805698415423,137.527199007201,264.477012253798,185.634194843485,588.900227835238,602.194085454511,387.262042525766,404.214402302517,136.263272825204,478.513217063902,773.701574091858,318.412064356931,83.9
1980M10,193.492520397423,241.020996647421,294.225303659441,358.720386458887,501.699564329396,230.86962370339,297.848930322388,221.78368896583,415.878149981565,128.655179655462,209.419272728341,368.873509151896,76.743366547145,108.758192692404,302.221625226017,160.860987175701,300.377691661665,317.32766409996,264.161149223224,119.883693691913,421.987177538271,131.971987478036,356.960872002194,441.619520865779,439.58531250286,81.6814928764508,75.0785034863052,139.192707868896,258.699440975049,178.546292901676,562.666444746985,586.041279044611,401.646912639064,383.003886815487,136.471752539893,465.328913493681,778.876874159695,306.215047105029,84.7
1980M11,177.065739208469,279.152855040318,298.800848220908,359.96816007,468.083290166483,208.096419565778,321.80847057562,215.66829652705,408.753611340817,140.784634834307,191.548119789354,340.970220956861,80.5727938296627,110.605853987476,312.444605710192,153.478331221742,320.35401550468,339.161771346552,261.238540766053,126.17887239286,431.871643864913,125.76482770763,369.989143774191,434.877105059631,426.837643990437,81.6204452785687,78.826409241404,137.729233136629,291.272866634936,193.937535866536,520.624791272002,579.879630082693,412.171485190006,376.288258082214,134.29699783974,434.994839786805,710.148959857039,283.709891760442,85.6
1980M12,166.881515889867,254.203552469853,277.194625535399,361.678273019035,450.109497422962,217.56762424673,308.631166937324,199.614066192518,409.636965513149,128.692482087898,184.304374691517,308.517586705911,80.9759262980763,111.063451290146,306.233537827361,150.602001008856,311.94906122419,332.640037308663,266.085031204112,121.85561746991,388.522792554127,123.499973683993,372.10531238309,420.384461994778,403.847497368169,81.2575993894065,79.2200209456643,135.000893247683,289.379767711269,185.851680778915,485.990074761537,553.992146596859,382.20774928288,374.402543211395,130.121191551945,371.292406029272,620.329142751078,268.52665606366,86.4
1981M01,165.370487562646,245.611459491235,267.959716761322,363.426623780109,442.438332233027,227.612013990309,275.482265419699,197.550565194038,407.311438036113,114.022543048597,201.780206118512,289.359713712862,77.3875420872099,112.970728382663,317.401668269364,149.52062060451,310.241889719096,328.750712414214,270.842595212114,121.197131041152,349.005240711696,119.699619705069,368.691502177741,413.336959249746,388.653930493327,81.2831611547075,75.7099563681197,133.762352942659,274.777904167572,185.104603251247,470.480850225149,508.249675776935,393.178155616705,370.351707484162,127.837868464619,380.960887788256,551.467748438528,235.979331013751,87.2
1981M02,166.335267556357,247.737593276509,254.661087920016,365.219834299167,427.472026100972,220.484930789307,258.750592939365,188.163640246323,388.763792181508,102.645740204239,201.20600346932,281.336033232992,73.8654903016271,108.725258800585,296.590383409798,147.397257011351,295.216188450725,307.917777864931,268.380389801095,111.461836003438,347.931199015676,121.254519617011,373.112947658402,393.968172324816,366.180350011745,79.6958605762077,72.2630596055687,136.826280866895,256.495696963191,188.034887858852,444.088823435792,503.629224178962,372.994012252234,356.347237696971,119.478285795828,338.467148799607,485.082116948202,209.264013605442,88
